latitude,longitude
-2.292.734,-4.320.963
-2.298.506,-431.963
-2.298.052,-4.318.994
-2.298.016,-4.319.094
-2.298.104,-4.319.101
-2.297.401,-4.319.223
-2.294.866,-4.319.019
-2.291.339,-4.321.244
-2.298.111,-4.320.182
-2.289.001,-4.330.273
-2.299.576,-4.327.004
-2.296.898,-4.318.947
-2.295.386,-4.316.839
-2.298.227,-4.319.559
-2.301.376,-4.347.188
-2.296.632,-4.318.295
-229.146,-4.318.562
-2.291.617,-431.823
-2.291.342,-4.319.293
-2.301.332,-4.344.587
-2.297.989,-4.322.345
-2.293.623,-4.317.785
-2.295.805,-4.320.064
-2.297.236,-4.318.419
-2.298.027,-4.319.416
-2.298.699,-4.319.285
-2.301.097,-4.334.236
-2.298.385,-4.320.031
-2.297.026,-4.339.484
-2.296.906,-4.318.497
-2.297.313,-4.339.267
-2.294.725,-4.318.546
-2.296.013,-4.327.024
-2.295.114,-4.318.765
-2.298.161,-4.319.169
-2.298.051,-4.319.361
-229.758,-4.319.379
-2.292.222,-4.318.299
-2.298.443,-4.319.281
-2.298.018,-4.319.527
-2.303.063,-4.347.614
-2.298.185,-4.322.226
-2.297.532,-4.319.413
-2.297.687,-4.319.343
-2.298.137,-4.320.812
-229.142,-4.318.874
-2.295.019,-4.318.916
-2.291.826,-4.320.675
-2.293.439,-4.319.972
-2.296.672,-4.318.322
-229.684,-4.318.284
-2.293.303,-4.319.772
-2.296.761,-4.319.106
-2.298.516,-43.193
-2.291.752,-4.321.297
-2.293.566,-4.323.957
-2.295.364,-4.334.187
-2.296.511,-4.319.095
-230.037,-4.330.226
-2.296.206,-4.316.726
-2.294.077,-4.325.045
-2.297.535,-4.319.222
-229.811,-431.901
-2.291.664,-4.317.957
-2.296.752,-4.318.261
-2.296.638,-431.823
-2.298.403,-4.321.777
-2.291.735,-431.784
-2.298.622,-4.319.332
-2.293.215,-4.317.558
-2.293.505,-4.317.894
-2.296.939,-4.318.719
-23.003,-4.336.649
-2.292.342,-4.320.742
-2.297.543,-4.322.935
-2.298.464,-4.319.049
-2.293.562,-4.319.963
-2.291.326,-4.323.878
-2.296.433,-4.317.818
-2.298.071,-4.319.432
-2.298.248,-4.321.168
-2.291.812,-4.319.271
-2.291.066,-4.321.965
-229.313,-4.318.584
-2.291.542,-4.321.224
-2.297.216,-4.318.637
-2.293.397,-4.319.903
-2.291.615,-4.318.023
-229.146,-4.317.936
-2.291.789,-4.318.507
-2.291.704,-4.318.625
-2.291.686,-4.318.682
-2.296.297,-4.317.077
-2.291.616,-4.318.198
-2.298.066,-4.319.172
-2.292.215,-4.318.782
-229.832,-4.322.528
-2.287.837,-4.347.622
-2.291.802,-4.317.959
-2.298.668,-4.319.689
-2.294.198,-4.319.878
-2.290.663,-4.327.426
-2.295.584,-4.319.342
-229.917,-4.323.278
-2.300.113,-433.585
-229.831,-4.322.538
-2.296.561,-4.317.379
-2.295.596,-431.835
-229.787,-4.322.379
-2.296.733,-431.869
-2.291.308,-4.321.682
-2.297.478,-4.319.105
-2.292.645,-4.336.431
-2.291.797,-4.318.001
-2.298.166,-4.318.957
-2.296.587,-4.319.025
-2.289.081,-4.361.172
-2.296.044,-43.174
-2.296.219,-4.317.291
-2.298.156,-4.321.954
-2.296.345,-4.317.577
-2.296.358,-4.317.205
-2.288.695,-4.351.842
-2.297.877,-4.318.902
-2.297.491,-4.319.354
-2.284.088,-4.329.622
-2.289.691,-4.319.263
-2.296.768,-4.318.241
-2.291.554,-4.318.865
-2.297.404,-4.318.819
-2.296.066,-4.316.551
-2.292.068,-4.323.078
-2.293.395,-4.320.028
-2.300.777,-4.344.394
-2.295.721,-4.318.213
-2.298.481,-4.319.456
-2.296.271,-4.317.349
-2.297.088,-4.318.696
-2.293.434,-4.318.051
-229.834,-4.321.356
-2.293.538,-4.319.902
-2.292.435,-4.317.834
-2.286.432,-432.577
-2.297.382,-4.318.813
-2.292.836,-4.317.652
-2.296.475,-4.317.483
-2.298.484,-4.320.382
-2.298.206,-4.319.281
-2.290.369,-431.919
-2.294.486,-4.316.027
-2.296.249,-4.317.005
-2.297.627,-4.341.348
-229.652,-4.317.391
-2.298.089,-4.318.938
-2.292.198,-4.318.741
-2.292.103,-431.874
-2.292.108,-431.872
-2.292.292,-4.318.356
-2.294.112,-4.336.697
-2.296.629,-4.317.912
-2.296.078,-4.320.035
-229.691,-4.318.083
-2.298.305,-4.320.243
-2.296.134,-4.316.767
-2.295.071,-4.337.592
-2.288.274,-43.309
-2.300.756,-4.334.283
-2.296.365,-4.317.077
-2.296.867,-4.318.363
-2.297.721,-4.322.322
-229.349,-4.324.279
-2.297.283,-431.893
-2.301.294,-4.332.256
-228.474,-4.330.798
-2.297.264,-4.318.882
-2.294.651,-4.316.084
-228.528,-432.729
-2.297.945,-4.318.926
-2.296.558,-4.323.337
-2.284.196,-4.329.723
-2.296.336,-4.317.021
-2.291.674,-4.317.798
-2.298.531,-4.319.661
-2.298.353,-4.319.122
-2.298.398,-4.321.748
-2.298.116,-4.319.162
-2.297.078,-4.318.992
-2.298.328,-432.266
-2.292.408,-4.354.172
-2.298.436,-4.322.688
-2.291.744,-4.318.964
-2.293.202,-4.324.062
-2.296.189,-4.316.965
-2.298.112,-4.319.007
-2.296.347,-4.317.906
-2.297.783,-4.318.828
-2.292.063,-4.318.768
-2.300.905,-4.329.837
-2.298.382,-4.319.185
-2.287.939,-4.335.829
-2.298.516,-4.319.944
-2.298.644,-4.343.282
-2.293.205,-4.318.908
-2.296.848,-4.319.036
-2.298.677,-4.319.083
-2.298.456,-4.336.426
-2.298.443,-4.320.052
-2.298.571,-431.953
-2.298.393,-4.322.437
-2.296.847,-4.318.331
-2.295.295,-4.319.653
-2.298.412,-4.319.592
-2.298.319,-4.319.464
-2.297.711,-4.350.008
-2.295.219,-4.317.476
-2.298.387,-4.321.388
-2.298.323,-4.319.879
-2.292.443,-4.317.486
-229.363,-4.318.994
-2.298.565,-4.322.138
-2.297.886,-4.319.045
-2.294.017,-4.319.304
-2.300.302,-4.334.811
-2.298.196,-4.319.189
-2.294.957,-4.336.399
-2.301.622,-4.352.072
-2.291.838,-4.317.808
-2.298.151,-4.322.471
-2.291.792,-4.318.939
-2.295.645,-4.317.772
-2.297.714,-4.318.956
-2.297.491,-4.318.858
-2.298.407,-4.322.892
-2.286.508,-4.347.477
-2.294.506,-4.318.152
-2.296.427,-432.022
-2.297.877,-4.341.037
-2.296.492,-4.317.597
-2.297.166,-4.318.503
-229.834,-4.321.386
-2.297.617,-4.318.732
-2.291.571,-4.320.374
-2.297.002,-4.318.327
-2.296.233,-434.077
-2.296.253,-4.340.865
-2.298.561,-4.319.172
-2.298.525,-4.319.264
-2.298.528,-4.319.062
-2.302.372,-4.348.761
-2.297.661,-4.318.742
-2.297.904,-431.899
-2.298.072,-431.898
-2.298.263,-4.318.942
-2.291.591,-4.318.187
-2.298.497,-4.319.753
-2.301.512,-4.330.016
-2.297.994,-4.319.365
-2.289.818,-4.319.329
-2.301.137,-4.332.111
-2.297.458,-43.192
-2.298.272,-4.320.979
-229.638,-4.317.607
-2.296.555,-4.319.044
-2.296.961,-4.318.159
-22.963,-4.318.976
-2.292.055,-431.823
-2.301.018,-4.332.767
-2.296.959,-4.318.482
-2.291.204,-4.318.191
-2.298.559,-4.320.182
-2.298.349,-4.319.386
-2.297.364,-4.339.286
-229.315,-4.318.061
-229.974,-4.327.349
-2.298.533,-4.320.122
-2.298.473,-4.319.113
-2.293.819,-4.317.708
-2.291.886,-4.317.811
-2.297.789,-4.318.827
-2.297.848,-4.364.723
-2.292.323,-4.317.261
-2.298.608,-4.322.801
-2.292.038,-4.318.709
-2.298.081,-4.320.374
-2.290.394,-4.325.404
-22.944,-4.318.324
-2.297.996,-4.319.772
-2.298.183,-4.341.357
-2.298.374,-4.320.749
-2.298.471,-4.321.454
-2.293.431,-4.317.974
-2.292.126,-4.317.596
-2.298.372,-4.319.131
-2.298.575,-432.069
-2.306.694,-4.356.732
-2.298.087,-4.321.676
-2.295.001,-431.895
-2.298.366,-4.320.937
-2.298.335,-4.319.399
-22.978,-4.319.163
-2.298.258,-4.319.734
-229.206,-4.316.986
-2.298.538,-4.322.482
-2.298.413,-4.322.856
-2.298.137,-43.199
-2.298.079,-4.318.955
-2.296.579,-4.319.017
-2.296.065,-4.317.146
-2.296.025,-4.317.082
-2.295.926,-4.317.412
-2.298.633,-432.195
-2.296.443,-431.717
-2.297.847,-4.336.637
-2.289.322,-4.349.121
