host_response_rate,host_is_superhost,host_total_listings_count,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,is_business_travel_ready,cancellation_policy,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
97%,f,15.0,-22.914.468.486.203.800,-4.318.480.127.763.940,t,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"{TV,Internet,""Air conditioning"",Kitchen,""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,""Hair dryer"",Iron,""Self check-in"",Lockbox,""Hot water"",""Bed linens""}",,$54.00,,,$388.00,$100.00,2,$0.00,30,90,t,51,89.0,9.0,9.0,10.0,9.0,9.0,9.0,f,strict_14_with_grace_period,f,15,0.84
100%,t,2.0,-2.297.959.016.276.500,-4.319.040.710.647.120,t,Apartment,Entire home/apt,6,2.0,3.0,4.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Free street parking"",""Family/kid friendly"",Washer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",,$387.00,,,,$194.00,1,$0.00,2,365,t,20,87.0,9.0,8.0,9.0,10.0,9.0,8.0,f,moderate,f,1,0.29
100%,f,1.0,-2.300.492.070.678.710,-4.330.445.157.322.600,t,House,Entire home/apt,14,7.0,5.0,9.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Doorman,""Free street parking"",""Hot tub"",""Buzzer/wireless intercom"",""Family/kid friendly"",""Suitable for events"",Washer,""Fire extinguisher"",Essentials,Hangers,Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed""}",,"$2,001.00",,,$0.00,$300.00,1,$0.00,3,1125,t,15,91.0,9.0,9.0,10.0,10.0,9.0,9.0,f,strict_14_with_grace_period,f,1,0.24
,f,1.0,-2.298.601.562.482.560,-43.207.513.901.823.600,t,Apartment,Entire home/apt,6,2.0,3.0,4.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",Doorman,Elevator,""Family/kid friendly"",Washer,Hangers,""Hair dryer"",Iron,""Self check-in"",""Building staff""}",,$600.00,,,$0.00,$300.00,4,$0.00,3,60,t,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,f,1,0.09
67%,f,2.0,-229.608.178.154.689,-4.316.616.031.623.480,t,Apartment,Entire home/apt,7,2.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Elevator,""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,Iron,""Laptop friendly workspace"",""Self check-in"",""Smart lock"",""Private living room"",""Baby monitor"",""Baby bath"",""Children’s books and toys"",""Window guards"",""Babysitter recommendations"",""Room-darkening shades"",""Children’s dinnerware"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Beach essentials"",""Long term stays allowed"",""Wide hallway clearance"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Step-free access"",""Accessible-height toilet"",""Step-free access"",""Wide entryway"",""Handheld shower head""}",,"$1,440.00","$10,000.00","$25,000.00","$3,000.00",$150.00,2,$50.00,1,1125,t,7,90.0,9.0,9.0,10.0,10.0,10.0,8.0,f,strict_14_with_grace_period,f,2,0.09
100%,f,2.0,-2.295.258.207.593.160,-4.319.328.559.239.450,f,Apartment,Entire home/apt,6,3.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Family/kid friendly"",Washer}",,$995.00,,"$12,900.00","$1,100.00",,1,$0.00,5,30,t,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,f,2,0.01
100%,f,3.0,-22.963.803.831.190.600,-4.317.137.399.121.000,t,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly""}",,$302.00,"$1,500.00","$3,000.00",,$180.00,1,$0.00,1,30,t,4,95.0,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,f,3,0.06
100%,f,6.0,-22.959.631.778.957.200,-43.171.022.948.726.300,t,Bed and breakfast,Private room,5,0.5,1.0,5.0,Real Bed,"{TV,Wifi,Kitchen,""Smoking allowed"",""Pets allowed"",Breakfast,""Pets live on this property"",Dog(s),Cat(s),""Family/kid friendly"",""Suitable for events"",Washer,Hangers,""Hair dryer"",Iron,""Hot water"",""Bed linens"",""Extra pillows and blankets""}",,$97.00,,,,$15.00,2,$75.00,2,60,t,62,91.0,9.0,9.0,9.0,9.0,9.0,9.0,f,strict_14_with_grace_period,t,5,0.86
,f,1.0,-22.934.254.840.256.600,-4.317.733.012.689.340,f,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,"{Internet,Wifi,""Air conditioning"",Kitchen,Doorman,""Pets live on this property"",Cat(s),Elevator,""Buzzer/wireless intercom"",Washer,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron}",,$252.00,,,,$40.00,2,$100.00,3,15,t,7,97.0,10.0,9.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,t,1,0.1
,f,1.0,-2.291.903.260.752,-4.318.723.669.355.370,t,Bed and breakfast,Private room,2,1.0,1.0,1.0,Real Bed,"{""Cable TV"",Wifi,""Air conditioning"",""Free parking on premises"",""Smoking allowed"",Breakfast,""Pets live on this property"",Dog(s),""Family/kid friendly""}",,$252.00,,,,,1,$0.00,1,1125,t,0,,,,,,,,f,flexible,f,1,
67%,f,3.0,-2.297.689.874.140.560,-43.188.383.002.453.900,t,Apartment,Entire home/apt,5,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",""Air conditioning"",""Wheelchair accessible"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly""}",,$530.00,,"$15,000.00","$2,000.00",$150.00,1,$0.00,10,365,t,1,89.0,10.0,8.0,10.0,10.0,8.0,8.0,f,strict_14_with_grace_period,f,3,0.01
100%,f,3.0,-2.298.234.608.273.730,-4.324.112.793.649.110,t,Apartment,Private room,2,2.0,1.0,2.0,Real Bed,"{TV,Wifi,""Wheelchair accessible"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Suitable for events"",Washer,Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,Iron,""Laptop friendly workspace"",""Children’s books and toys"",""Room-darkening shades"",""Hot water"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you"",""Paid parking on premises""}",,$74.00,,,$500.00,$150.00,1,$25.00,1,360,t,5,92.0,10.0,10.0,10.0,9.0,8.0,9.0,f,strict_14_with_grace_period,f,3,0.07
25%,f,2.0,-22.978.963.299.229.900,-4.320.207.430.227.290,f,Apartment,Entire home/apt,7,3.0,3.0,7.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Indoor fireplace"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer}",,"$1,548.00",,,"$3,096.00",$387.00,1,$0.00,1,1125,t,0,,,,,,,,f,strict_14_with_grace_period,f,2,
100%,f,3.0,-22.982.406.909.682.900,-4.323.958.787.330.020,t,Apartment,Private room,3,3.0,1.0,2.0,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Gym,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""Safety card"",Essentials,Shampoo,""24-hour check-in"",Hangers,Iron,""Laptop friendly workspace"",""Hot water"",""Host greets you"",""Paid parking on premises""}",,$190.00,,,$500.00,$150.00,1,$50.00,1,360,t,3,80.0,8.0,9.0,9.0,9.0,7.0,8.0,f,strict_14_with_grace_period,f,3,0.04
60%,f,4.0,-2.296.231.325.323.140,-43.166.710.460.690.000,t,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,Washer,Essentials,Hangers,""Laptop friendly workspace"",""Children’s books and toys"",""Hot water"",""Long term stays allowed"",""Host greets you""}",,$348.00,,,$500.00,$130.00,1,$50.00,5,100,t,17,96.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,f,3,0.24
61%,f,49.0,-2.301.162.627.282.350,-43.391.480.840.134.900,t,Apartment,Entire home/apt,5,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Doorman,Gym,Elevator,""Family/kid friendly""}",,$348.00,,,"$4,000.00",,1,$0.00,1,1125,t,3,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,f,40,0.04
100%,f,1.0,-2.298.617.018.484.740,-4.322.266.966.731.680,t,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Hot tub"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Luggage dropoff allowed"",""Host greets you"",Beachfront}",,$399.00,,,$900.00,$170.00,4,$0.00,6,1125,t,6,100.0,10.0,10.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,t,1,0.09
100%,f,1.0,-2.300.529.319.845.190,-4.336.863.372.261.390,t,Apartment,Entire home/apt,6,2.0,3.0,3.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,""Free parking on premises"",""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",,$975.00,,,,,1,$0.00,7,1125,t,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,f,1,0.04
94%,f,6.0,-2.298.015.667.684.890,-4.319.927.952.222.160,f,Apartment,Entire home/apt,12,3.0,3.0,8.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,""24-hour check-in"",Hangers,""Laptop friendly workspace""}",,$700.00,"$5,000.00","$15,000.00",,$120.00,1,$0.00,1,1000,t,17,87.0,8.0,8.0,10.0,9.0,10.0,9.0,f,strict_14_with_grace_period,f,5,0.23
100%,f,1.0,-2.293.190.593.675.510,-4.317.849.823.549.460,t,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Essentials,Shampoo,""Lock on bedroom door"",Iron,""Bed linens"",""Host greets you""}",,$74.00,,,$0.00,$0.00,1,$40.00,1,30,t,164,93.0,10.0,9.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,1,2.22
50%,f,5.0,-2.298.469.511.788.770,-4.320.500.218.955.080,f,House,Private room,2,2.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Pets allowed"",Breakfast,""Pets live on this property"",Cat(s),""Family/kid friendly"",Washer,""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove,""Long term stays allowed""}",,$101.00,,,,,1,$200.00,2,30,t,27,91.0,9.0,8.0,10.0,10.0,10.0,9.0,f,moderate,f,5,0.38
100%,t,6.0,-22.981.758.045.316.900,-432.042.648.037.643,t,Loft,Entire home/apt,2,1.0,1.0,1.0,Pull-out Sofa,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Elevator,""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private living room"",""Window guards"",""Fireplace guards"",""Babysitter recommendations"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove,""Single level home"",""Long term stays allowed"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Step-free access"",""Wide entryway""}",,$93.00,,,$698.00,$155.00,2,$91.00,1,365,t,241,92.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,t,6,3.24
100%,f,6.0,-2.296.035.260.691.900,-431.709.126.478.554,f,Bed and breakfast,Private room,2,0.5,1.0,1.0,Real Bed,"{TV,Wifi,Kitchen,""Smoking allowed"",""Pets allowed"",Breakfast,""Pets live on this property"",Dog(s),Cat(s),""Family/kid friendly"",""Suitable for events"",Washer,Essentials,Hangers,""Hair dryer"",Iron,""Hot water"",""Bed linens"",""Extra pillows and blankets""}",,$97.00,,,,$15.00,1,$0.00,2,60,t,155,94.0,9.0,9.0,9.0,9.0,9.0,9.0,f,strict_14_with_grace_period,t,5,2.12
100%,f,7.0,-22.957.351.203.615.500,-4.318.212.493.681.050,f,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,Wifi,Kitchen,""Free parking on premises"",Doorman,Elevator,""Hot tub"",""Buzzer/wireless intercom"",Washer,Dryer}",,$135.00,"$3,483.00","$8,549.00",,$135.00,2,$19.00,5,90,t,8,94.0,10.0,10.0,10.0,10.0,9.0,10.0,f,strict_14_with_grace_period,t,6,0.11
,f,5.0,-22.935.821.064.622.300,-4.319.833.006.453.680,t,House,Private room,4,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,Breakfast,""Free street parking"",""Family/kid friendly"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",""Hair dryer"",""Hot water"",""Host greets you""}",,$224.00,$350.00,"$1,250.00",,,2,$82.00,1,1125,t,57,98.0,10.0,10.0,10.0,10.0,9.0,10.0,f,strict_14_with_grace_period,f,5,0.77
90%,t,2.0,-2.298.261.276.789.650,-4.322.565.475.392.020,f,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",""Smoking allowed"",""Pets allowed"",""Family/kid friendly"",""Suitable for events"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",,$190.00,,,$330.00,$140.00,2,$50.00,2,1125,t,41,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,f,2,0.56
,f,1.0,-22.918.683.904.067.100,-4.318.692.607.493.660,t,House,Entire home/apt,3,1.0,1.0,2.0,Real Bed,"{""Cable TV"",Internet,Wifi,Kitchen,""Smoking allowed"",""Pets allowed"",Washer}",,$151.00,,,,,1,$50.00,7,30,t,0,,,,,,,,f,strict_14_with_grace_period,f,1,
96%,f,4.0,-22.965.659.067.099.400,-4.318.711.964.896.520,f,Apartment,Private room,2,2.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Wifi,Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer}",,$120.00,,,,$60.00,1,$0.00,3,60,t,1,94.0,10.0,10.0,6.0,10.0,10.0,10.0,f,strict_14_with_grace_period,f,4,0.02
100%,t,2.0,-22.974.360.694.801.800,-4.318.965.362.722.530,t,Apartment,Entire home/apt,5,1.5,2.0,4.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Paid parking off premises"",Doorman,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Long term stays allowed"",""Cleaning before checkout"",""Host greets you""}",,$151.00,,,$500.00,$190.00,3,$20.00,3,1124,t,54,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,t,2,0.85
100%,f,3.0,-2.291.939.667.297.620,-43.188.280.800.341.600,f,Apartment,Private room,3,2.0,1.0,1.0,Real Bed,"{Internet,Wifi,Kitchen,""Smoking allowed"",""Family/kid friendly"",Washer,Essentials,""Lock on bedroom door"",Hangers,""Bed linens""}",,$85.00,,,,,1,$40.00,1,180,t,30,86.0,9.0,9.0,10.0,9.0,9.0,9.0,f,strict_14_with_grace_period,f,2,0.41
33%,f,4.0,-2.297.375.229.553.030,-4.319.997.119.875.580,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Shampoo,""Hair dryer"",Iron,""Self check-in"",""Building staff"",""Private entrance"",""Hot water""}",,$426.00,$525.00,"$1,750.00","$1,269.00",$92.00,2,$222.00,2,10,t,0,,,,,,,,f,moderate,f,3,
33%,f,4.0,-2.297.406.568.107.240,-4.319.976.335.927.600,t,Apartment,Private room,2,1.5,1.0,1.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Shampoo}",,$588.00,"$2,100.00","$4,900.00","$1,688.00",$152.00,2,$152.00,3,30,t,1,77.0,6.0,8.0,6.0,8.0,10.0,8.0,f,moderate,f,3,0.01
,f,1.0,-2.297.494.508.462.620,-43.225.559.750.414.400,t,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Washer,Essentials}",,$290.00,,,,,1,$0.00,1,1125,t,0,,,,,,,,f,flexible,f,1,
100%,f,1.0,-2.298.645.674.276.290,-4.319.865.813.052.840,t,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",Essentials,Hangers,""Hair dryer"",""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove,""Luggage dropoff allowed""}",,$201.00,,,$0.00,$150.00,1,$0.00,3,90,t,148,95.0,10.0,10.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,1,02.01
,f,1.0,-2.291.516.869.309.280,-431.883.226.481.819,f,Apartment,Private room,4,,1.0,,Real Bed,{},,$399.00,,,,,1,$0.00,1,1125,t,0,,,,,,,,f,strict_14_with_grace_period,f,1,
100%,t,8.0,-2.298.625.885.576.050,-4.319.006.033.035.010,f,Apartment,Entire home/apt,10,3.0,3.0,8.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Elevator,""Family/kid friendly"",Washer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Pack ’n Play/travel crib"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",Beachfront}",,$344.00,,,$600.00,$310.00,4,$52.00,3,1125,t,127,95.0,10.0,9.0,10.0,10.0,10.0,9.0,f,moderate,t,2,1.75
100%,f,4.0,-22.985.275.794.186.100,-4.320.506.006.465.330,t,Apartment,Entire home/apt,4,1.5,2.0,4.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed""}",,$283.00,,,$600.00,$200.00,3,$50.00,3,89,t,144,93.0,9.0,10.0,10.0,9.0,10.0,9.0,f,strict_14_with_grace_period,t,4,1.99
,f,3.0,-229.358.373.939.737,-43.201.212.518.922.300,f,House,Private room,3,1.0,1.0,2.0,Real Bed,"{Internet,Wifi,""Air conditioning"",""Smoking allowed"",Breakfast,""Family/kid friendly""}",,$89.00,,,,$116.00,1,$155.00,1,1125,t,0,,,,,,,,f,strict_14_with_grace_period,f,3,
,f,3.0,-22.938.968.717.608.200,-4.320.633.844.208.370,f,House,Private room,3,1.0,1.0,2.0,Real Bed,"{Internet,Wifi,""Smoking allowed"",Breakfast,""Pets live on this property"",Cat(s),""Family/kid friendly"",""Suitable for events""}",,$89.00,"$1,355.00","$4,644.00",,$116.00,1,$116.00,1,1125,t,29,93.0,9.0,9.0,10.0,10.0,8.0,9.0,f,strict_14_with_grace_period,f,3,0.4
100%,f,1.0,-22.983.661.174.282.300,-4.321.729.685.165.900,f,Apartment,Entire home/apt,8,1.5,3.0,4.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""Hair dryer"",Iron,""Self check-in"",""Building staff"",""Hot water""}",,$689.00,,,"$1,000.00",$200.00,6,$150.00,3,90,t,20,94.0,9.0,9.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,1,0.28
100%,f,1.0,-229.799.446.740.592,-43.190.468.288.793.500,t,Apartment,Entire home/apt,4,2.5,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""Smoke detector"",""First aid kit"",""Safety card"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""Self check-in"",""Building staff"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you"",Beachfront}",,$329.00,,,"$2,199.00",$220.00,4,$0.00,7,60,t,43,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,t,1,0.59
90%,f,3.0,-22.943.520.378.098.400,-4.320.530.877.167.030,t,Bungalow,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{Wifi,Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets live on this property"",Dog(s),Essentials,""24-hour check-in"",Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Long term stays allowed"",""Host greets you""}",,$101.00,"$1,400.00","$4,000.00",$0.00,$90.00,2,$60.00,3,1124,t,3,100.0,10.0,9.0,10.0,10.0,9.0,10.0,f,flexible,f,3,0.11
100%,f,1.0,-2.296.511.969.559.230,-4.317.608.398.236.760,t,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff""}",,$151.00,,,$380.00,$150.00,2,$0.00,2,1125,t,37,92.0,10.0,9.0,10.0,10.0,9.0,9.0,f,strict_14_with_grace_period,f,1,0.52
100%,t,2.0,-22.985.005.464.416.000,-43.190.608.962.719.000,t,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,"{""Cable TV"",Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,Essentials,Hangers,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$101.00,,,$500.00,$100.00,1,$50.00,3,365,t,47,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,t,2,0.65
87%,t,3.0,-22.951.932.749.065.400,-4.316.765.352.145.580,t,House,Entire home/apt,6,1.0,2.0,5.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""BBQ grill"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",,$267.00,"$8,731.00","$30,798.00",$0.00,$116.00,4,$116.00,4,360,t,17,89.0,9.0,9.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,3,0.24
100%,t,5.0,-22.963.061.838.892.100,-43.171.432.832.377.600,t,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Luggage dropoff allowed"",""Host greets you"",Beachfront}",,$700.00,,,$700.00,,4,$100.00,5,800,t,0,,,,,,,,f,strict_14_with_grace_period,f,5,
